country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
CAN,59.3437,-120.38242,310.38,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.24,2.14,N
CAN,59.34379,-120.37348,303.19,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.22,0.96,N
CAN,59.34993,-120.37367,298.53,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.74,0.96,N
CAN,59.35002,-120.36474,296.71,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.53,0.96,N
CAN,59.35588,-120.39178,305.45,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.28,3.8,N
CAN,59.35642,-120.33825,295.74,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.49,1.51,N
CAN,59.3565,-120.32937,297.99,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.85,1.51,N
CAN,59.36148,-120.44491,319.06,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.5,1.95,N
CAN,59.36157,-120.43611,298.63,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.09,1.95,N
CAN,59.36184,-120.40981,310.06,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.71,5.89,N
CAN,59.36193,-120.40096,341.64,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.3,5.89,N
CAN,59.36202,-120.39206,335.95,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,292.63,3.8,N
CAN,59.36211,-120.38311,299.8,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.87,3.8,N
CAN,59.36246,-120.3474,310.61,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.68,3.23,N
CAN,59.36255,-120.33846,312.06,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.83,1.51,N
CAN,59.36514,-122.58395,300.2,0.6,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.4,2.44,N
CAN,59.36753,-120.45424,306.64,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.91,3.36,N
CAN,59.36763,-120.44537,335.81,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,289.19,8.23,N
CAN,59.36772,-120.43653,338.84,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,290.85,8.23,N
CAN,59.36781,-120.42773,349.78,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,292.21,7.65,N
CAN,59.36787,-122.57729,305.91,0.6,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.67,2.16,N
CAN,59.36789,-120.41897,323.55,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.6,7.65,N
CAN,59.36798,-120.41014,304.49,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.85,2.47,N
CAN,59.37336,-120.38828,298.58,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.41,1.99,N
CAN,59.37348,-120.37928,308.31,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.61,1.99,N
CAN,59.3736,-120.37032,301.04,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.63,2.33,N
CAN,59.37438,-120.38353,308.65,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.93,2,N
CAN,59.37447,-120.37454,303.65,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.44,2.58,N
CAN,59.37903,-120.42426,299.9,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.56,1.18,N
CAN,59.37915,-120.41537,300.2,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.93,1.18,N
CAN,59.37938,-120.39751,297.33,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.68,1.87,N
CAN,59.38018,-120.41964,308.56,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.35,1.73,N
CAN,59.38035,-120.40177,305.98,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.98,1.76,N
CAN,59.38074,-122.72903,309.71,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.4,4.21,N
CAN,59.38107,-122.71793,327.95,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.22,4.87,N
CAN,59.38139,-122.70683,320.29,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.2,4.87,N
CAN,59.38529,-120.41565,305.55,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.49,2.94,N
CAN,59.38541,-120.40672,308.34,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.41,1.54,N
CAN,59.38552,-120.39773,295.59,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.49,1.54,N
CAN,59.38633,-120.41994,297.23,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.91,1.73,N
CAN,59.38641,-120.41104,304.03,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.65,1.76,N
CAN,59.38649,-120.40204,302.36,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.61,1.76,N
CAN,59.38703,-122.74067,302.07,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,281.12,1.44,N
CAN,59.38736,-122.72954,303.03,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.23,1.44,N
CAN,59.39365,-122.74107,302.14,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.76,1.44,N
CAN,59.40784,-122.70876,330.56,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.66,6.39,N
CAN,59.40816,-122.69743,314.25,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.18,5.72,N
CAN,59.4135,-122.74272,298.41,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,281.62,2.01,N
CAN,59.41381,-122.73156,297.3,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,280.81,2.01,N
CAN,59.41413,-122.7204,326.4,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.24,6.11,N
CAN,59.41445,-122.70914,324.8,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.83,6.11,N
CAN,59.41477,-122.69786,304.05,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.91,3.75,N
CAN,59.42814,-121.91037,295.52,0.57,0.69,2025-06-30,858,N20,VIIRS,n,2.0NRT,280.24,1.68,N
CAN,59.42837,-121.89996,299.54,0.57,0.69,2025-06-30,858,N20,VIIRS,n,2.0NRT,281.52,2.04,N
CAN,59.43388,-121.94238,297.83,0.57,0.69,2025-06-30,858,N20,VIIRS,n,2.0NRT,280.84,1.63,N
CAN,59.44803,-122.60301,299.59,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.85,1.64,N
CAN,59.45021,-122.61084,295.64,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,281.18,2.41,N
